Top 100 Sort By Count
Count    Total     Mean   Stddev     Min   P50.0   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
    4    0.004   0.0010   0.0000   0.001   0.001   0.001   0.001     4     0    0    0         804        195        201        207  GET /api/user/:username HTTP/1.1
    1    0.001   0.0010   0.0000   0.001   0.001   0.001   0.001     1     0    0    0        3390       3390       3390       3390  GET /api/tag HTTP/2.0
    1    0.001   0.0010   0.0000   0.001   0.001   0.001   0.001     1     0    0    0          16         16         16         16  GET /api/payment HTTP/2.0

Top 100 Sort By Mean
Count    Total     Mean   Stddev     Min   P50.0   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
    5   62.184  12.4368   7.9541   2.720  18.144  20.000  20.000     2     0    3    0         160          0         32         81  GET /api/livestream/:livestream_id/statistics HTTP/1.1
    1    7.281   7.2810   0.0000   7.281   7.281   7.281   7.281     1     0    0    0          22         22         22         22  POST /api/initialize HTTP/2.0
  280  185.437   0.6623   0.2825   0.001   0.637   1.964   1.964   278     0    2    0    13916924          0      49703     106901  GET /api/livestream/:livestream_id HTTP/1.1
  790  199.521   0.2526   0.2066   0.000   0.204   0.971   0.971   788     0    2    0    12715868          0      16096      61134  GET /api/livestream/:livestream_id/livecomment HTTP/1.1
  218   52.420   0.2405   0.1105   0.001   0.262   0.440   0.440   214     0    4    0      200766          0        920       1067  POST /api/livestream/:livestream_id HTTP/1.1
  827  169.830   0.2054   0.1945   0.000   0.158   0.994   0.994   825     0    2    0    10522330          0      12723      56857  GET /api/livestream/:livestream_id/reaction HTTP/1.1
  886   88.099   0.0994   0.0260   0.000   0.097   0.250   0.250   882     0    3    1      379305          0        428        482  POST /api/register HTTP/2.0
   79    6.678   0.0845   0.0986   0.000   0.027   0.342   0.342    78     0    1    0      384764          0       4870      16287  GET /api/livestream/:livestream_id/livecomment?limit=<num> HTTP/1.1
    2    0.140   0.0700   0.0350   0.035   0.105   0.105   0.105     2     0    0    0      142492      40487      71246     102005  GET /api/livestream/:livestream_id HTTP/2.0
   14    0.820   0.0586   0.0332   0.009   0.055   0.129   0.129    14     0    0    0        1609        108        114        132  GET /api/user/:username/statistics HTTP/1.1
   77    4.360   0.0566   0.0959   0.000   0.007   0.347   0.347    77     0    0    0      240390          3       3121      15117  GET /api/livestream/:livestream_id/reaction?limit=<num> HTTP/1.1
   12    0.532   0.0443   0.0164   0.024   0.041   0.071   0.071    12     0    0    0       18473        940       1539       2948  GET /api/user/:username/livestream HTTP/1.1
 1102   37.372   0.0339   0.0229   0.001   0.032   0.191   0.245  1100     0    2    0     1685471          0       1529       1762  POST /api/livestream/:livestream_id/livecomment HTTP/1.1
  807   24.497   0.0304   0.0186   0.001   0.029   0.188   0.188   805     0    2    0     1178163          0       1459       1587  POST /api/livestream/:livestream_id/reaction HTTP/1.1
   60    1.796   0.0299   0.0229   0.002   0.031   0.099   0.099    57     0    3    0      114144         52       1902       2148  POST /api/livestream/:livestream_id/livecomment/:livecomment_id/report HTTP/1.1
  898   20.775   0.0231   0.0204   0.004   0.016   0.183   0.183   898     0    0    0        9770          9         10         11  POST /api/icon HTTP/1.1
  323    5.013   0.0155   0.0336   0.000   0.006   0.297   0.297   316     0    0    7      156237          3        483      13920  GET /api/livestream/:livestream_id/report HTTP/1.1
  561    5.746   0.0102   0.0142   0.000   0.005   0.167   0.167   561     0    0    0      297359          3        530      17593  GET /api/livestream HTTP/1.1
  169    1.728   0.0102   0.0080   0.001   0.009   0.035   0.035   169     0    0    0        3042         18         18         18  POST /api/livestream/:livestream_id/moderate HTTP/1.1
  204    1.492   0.0073   0.0100   0.000   0.005   0.079   0.079   204     0    0    0      694008       3402       3402       3402  GET /api/tag HTTP/1.1
 8547   61.201   0.0072   0.0076   0.000   0.005   0.062   0.190    16  8530    1    0     1131313          0        132     103174  GET /api/user/:username/icon HTTP/1.1
   70    0.435   0.0062   0.0069   0.000   0.004   0.032   0.032    70     0    0    0           0          0          0          0  DELETE /api/livestream/:livestream_id/exit HTTP/1.1
  243    1.446   0.0060   0.0070   0.000   0.004   0.060   0.060   243     0    0    0       17290          5         71        798  GET /api/livestream/:livestream_id/ngwords HTTP/1.1
   13    0.070   0.0054   0.0041   0.000   0.006   0.013   0.013    13     0    0    0         377         29         29         29  GET /api/user/:username/theme HTTP/1.1
   80    0.382   0.0048   0.0056   0.000   0.003   0.041   0.041    80     0    0    0           0          0          0          0  POST /api/livestream/:livestream_id/enter HTTP/1.1
  890    3.667   0.0041   0.0047   0.001   0.003   0.063   0.063   888     0    2    0         118          0          0         59  POST /api/login HTTP/2.0
    4    0.004   0.0010   0.0000   0.001   0.001   0.001   0.001     4     0    0    0         804        195        201        207  GET /api/user/:username HTTP/1.1
    1    0.001   0.0010   0.0000   0.001   0.001   0.001   0.001     1     0    0    0        3390       3390       3390       3390  GET /api/tag HTTP/2.0
    1    0.001   0.0010   0.0000   0.001   0.001   0.001   0.001     1     0    0    0          16         16         16         16  GET /api/payment HTTP/2.0

Top 100 Sort By Standard Deviation
Count    Total     Mean   Stddev     Min   P50.0   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
    5   62.184  12.4368   7.9541   2.720  18.144  20.000  20.000     2     0    3    0         160          0         32         81  GET /api/livestream/:livestream_id/statistics HTTP/1.1
  280  185.437   0.6623   0.2825   0.001   0.637   1.964   1.964   278     0    2    0    13916924          0      49703     106901  GET /api/livestream/:livestream_id HTTP/1.1
  790  199.521   0.2526   0.2066   0.000   0.204   0.971   0.971   788     0    2    0    12715868          0      16096      61134  GET /api/livestream/:livestream_id/livecomment HTTP/1.1
  827  169.830   0.2054   0.1945   0.000   0.158   0.994   0.994   825     0    2    0    10522330          0      12723      56857  GET /api/livestream/:livestream_id/reaction HTTP/1.1
  218   52.420   0.2405   0.1105   0.001   0.262   0.440   0.440   214     0    4    0      200766          0        920       1067  POST /api/livestream/:livestream_id HTTP/1.1
   79    6.678   0.0845   0.0986   0.000   0.027   0.342   0.342    78     0    1    0      384764          0       4870      16287  GET /api/livestream/:livestream_id/livecomment?limit=<num> HTTP/1.1
   77    4.360   0.0566   0.0959   0.000   0.007   0.347   0.347    77     0    0    0      240390          3       3121      15117  GET /api/livestream/:livestream_id/reaction?limit=<num> HTTP/1.1
    2    0.140   0.0700   0.0350   0.035   0.105   0.105   0.105     2     0    0    0      142492      40487      71246     102005  GET /api/livestream/:livestream_id HTTP/2.0
  323    5.013   0.0155   0.0336   0.000   0.006   0.297   0.297   316     0    0    7      156237          3        483      13920  GET /api/livestream/:livestream_id/report HTTP/1.1
   14    0.820   0.0586   0.0332   0.009   0.055   0.129   0.129    14     0    0    0        1609        108        114        132  GET /api/user/:username/statistics HTTP/1.1
  886   88.099   0.0994   0.0260   0.000   0.097   0.250   0.250   882     0    3    1      379305          0        428        482  POST /api/register HTTP/2.0
 1102   37.372   0.0339   0.0229   0.001   0.032   0.191   0.245  1100     0    2    0     1685471          0       1529       1762  POST /api/livestream/:livestream_id/livecomment HTTP/1.1
   60    1.796   0.0299   0.0229   0.002   0.031   0.099   0.099    57     0    3    0      114144         52       1902       2148  POST /api/livestream/:livestream_id/livecomment/:livecomment_id/report HTTP/1.1
  898   20.775   0.0231   0.0204   0.004   0.016   0.183   0.183   898     0    0    0        9770          9         10         11  POST /api/icon HTTP/1.1
  807   24.497   0.0304   0.0186   0.001   0.029   0.188   0.188   805     0    2    0     1178163          0       1459       1587  POST /api/livestream/:livestream_id/reaction HTTP/1.1
   12    0.532   0.0443   0.0164   0.024   0.041   0.071   0.071    12     0    0    0       18473        940       1539       2948  GET /api/user/:username/livestream HTTP/1.1
  561    5.746   0.0102   0.0142   0.000   0.005   0.167   0.167   561     0    0    0      297359          3        530      17593  GET /api/livestream HTTP/1.1
  204    1.492   0.0073   0.0100   0.000   0.005   0.079   0.079   204     0    0    0      694008       3402       3402       3402  GET /api/tag HTTP/1.1
  169    1.728   0.0102   0.0080   0.001   0.009   0.035   0.035   169     0    0    0        3042         18         18         18  POST /api/livestream/:livestream_id/moderate HTTP/1.1
 8547   61.201   0.0072   0.0076   0.000   0.005   0.062   0.190    16  8530    1    0     1131313          0        132     103174  GET /api/user/:username/icon HTTP/1.1
  243    1.446   0.0060   0.0070   0.000   0.004   0.060   0.060   243     0    0    0       17290          5         71        798  GET /api/livestream/:livestream_id/ngwords HTTP/1.1
   70    0.435   0.0062   0.0069   0.000   0.004   0.032   0.032    70     0    0    0           0          0          0          0  DELETE /api/livestream/:livestream_id/exit HTTP/1.1
   80    0.382   0.0048   0.0056   0.000   0.003   0.041   0.041    80     0    0    0           0          0          0          0  POST /api/livestream/:livestream_id/enter HTTP/1.1
  890    3.667   0.0041   0.0047   0.001   0.003   0.063   0.063   888     0    2    0         118          0          0         59  POST /api/login HTTP/2.0
   13    0.070   0.0054   0.0041   0.000   0.006   0.013   0.013    13     0    0    0         377         29         29         29  GET /api/user/:username/theme HTTP/1.1
    1    7.281   7.2810   0.0000   7.281   7.281   7.281   7.281     1     0    0    0          22         22         22         22  POST /api/initialize HTTP/2.0
    4    0.004   0.0010   0.0000   0.001   0.001   0.001   0.001     4     0    0    0         804        195        201        207  GET /api/user/:username HTTP/1.1
    1    0.001   0.0010   0.0000   0.001   0.001   0.001   0.001     1     0    0    0        3390       3390       3390       3390  GET /api/tag HTTP/2.0
    1    0.001   0.0010   0.0000   0.001   0.001   0.001   0.001     1     0    0    0          16         16         16         16  GET /api/payment HTTP/2.0

Top 100 Sort By Maximum(100 Percentile)
Count    Total     Mean   Stddev     Min   P50.0   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
    5   62.184  12.4368   7.9541   2.720  18.144  20.000  20.000     2     0    3    0         160          0         32         81  GET /api/livestream/:livestream_id/statistics HTTP/1.1
    1    7.281   7.2810   0.0000   7.281   7.281   7.281   7.281     1     0    0    0          22         22         22         22  POST /api/initialize HTTP/2.0
  280  185.437   0.6623   0.2825   0.001   0.637   1.964   1.964   278     0    2    0    13916924          0      49703     106901  GET /api/livestream/:livestream_id HTTP/1.1
  827  169.830   0.2054   0.1945   0.000   0.158   0.994   0.994   825     0    2    0    10522330          0      12723      56857  GET /api/livestream/:livestream_id/reaction HTTP/1.1
  790  199.521   0.2526   0.2066   0.000   0.204   0.971   0.971   788     0    2    0    12715868          0      16096      61134  GET /api/livestream/:livestream_id/livecomment HTTP/1.1
  218   52.420   0.2405   0.1105   0.001   0.262   0.440   0.440   214     0    4    0      200766          0        920       1067  POST /api/livestream/:livestream_id HTTP/1.1
   77    4.360   0.0566   0.0959   0.000   0.007   0.347   0.347    77     0    0    0      240390          3       3121      15117  GET /api/livestream/:livestream_id/reaction?limit=<num> HTTP/1.1
   79    6.678   0.0845   0.0986   0.000   0.027   0.342   0.342    78     0    1    0      384764          0       4870      16287  GET /api/livestream/:livestream_id/livecomment?limit=<num> HTTP/1.1
  323    5.013   0.0155   0.0336   0.000   0.006   0.297   0.297   316     0    0    7      156237          3        483      13920  GET /api/livestream/:livestream_id/report HTTP/1.1
  886   88.099   0.0994   0.0260   0.000   0.097   0.250   0.250   882     0    3    1      379305          0        428        482  POST /api/register HTTP/2.0
 1102   37.372   0.0339   0.0229   0.001   0.032   0.191   0.245  1100     0    2    0     1685471          0       1529       1762  POST /api/livestream/:livestream_id/livecomment HTTP/1.1
 8547   61.201   0.0072   0.0076   0.000   0.005   0.062   0.190    16  8530    1    0     1131313          0        132     103174  GET /api/user/:username/icon HTTP/1.1
  807   24.497   0.0304   0.0186   0.001   0.029   0.188   0.188   805     0    2    0     1178163          0       1459       1587  POST /api/livestream/:livestream_id/reaction HTTP/1.1
  898   20.775   0.0231   0.0204   0.004   0.016   0.183   0.183   898     0    0    0        9770          9         10         11  POST /api/icon HTTP/1.1
  561    5.746   0.0102   0.0142   0.000   0.005   0.167   0.167   561     0    0    0      297359          3        530      17593  GET /api/livestream HTTP/1.1
   14    0.820   0.0586   0.0332   0.009   0.055   0.129   0.129    14     0    0    0        1609        108        114        132  GET /api/user/:username/statistics HTTP/1.1
    2    0.140   0.0700   0.0350   0.035   0.105   0.105   0.105     2     0    0    0      142492      40487      71246     102005  GET /api/livestream/:livestream_id HTTP/2.0
   60    1.796   0.0299   0.0229   0.002   0.031   0.099   0.099    57     0    3    0      114144         52       1902       2148  POST /api/livestream/:livestream_id/livecomment/:livecomment_id/report HTTP/1.1
  204    1.492   0.0073   0.0100   0.000   0.005   0.079   0.079   204     0    0    0      694008       3402       3402       3402  GET /api/tag HTTP/1.1
   12    0.532   0.0443   0.0164   0.024   0.041   0.071   0.071    12     0    0    0       18473        940       1539       2948  GET /api/user/:username/livestream HTTP/1.1
  890    3.667   0.0041   0.0047   0.001   0.003   0.063   0.063   888     0    2    0         118          0          0         59  POST /api/login HTTP/2.0
  243    1.446   0.0060   0.0070   0.000   0.004   0.060   0.060   243     0    0    0       17290          5         71        798  GET /api/livestream/:livestream_id/ngwords HTTP/1.1
   80    0.382   0.0048   0.0056   0.000   0.003   0.041   0.041    80     0    0    0           0          0          0          0  POST /api/livestream/:livestream_id/enter HTTP/1.1
  169    1.728   0.0102   0.0080   0.001   0.009   0.035   0.035   169     0    0    0        3042         18         18         18  POST /api/livestream/:livestream_id/moderate HTTP/1.1
   70    0.435   0.0062   0.0069   0.000   0.004   0.032   0.032    70     0    0    0           0          0          0          0  DELETE /api/livestream/:livestream_id/exit HTTP/1.1
   13    0.070   0.0054   0.0041   0.000   0.006   0.013   0.013    13     0    0    0         377         29         29         29  GET /api/user/:username/theme HTTP/1.1
    4    0.004   0.0010   0.0000   0.001   0.001   0.001   0.001     4     0    0    0         804        195        201        207  GET /api/user/:username HTTP/1.1
    1    0.001   0.0010   0.0000   0.001   0.001   0.001   0.001     1     0    0    0        3390       3390       3390       3390  GET /api/tag HTTP/2.0
    1    0.001   0.0010   0.0000   0.001   0.001   0.001   0.001     1     0    0    0          16         16         16         16  GET /api/payment HTTP/2.0

TOP 37 Slow Requests
 1  20.000  GET /api/livestream/7606/statistics HTTP/1.1
 2  18.592  GET /api/livestream/7587/statistics HTTP/1.1
 3  18.144  GET /api/livestream/7588/statistics HTTP/1.1
 4   7.281  POST /api/initialize HTTP/2.0
 5   2.728  GET /api/livestream/7496/statistics HTTP/1.1
 6   2.720  GET /api/livestream/7496/statistics HTTP/1.1
